Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2025-09-02,Printer,Office Supplies,East,9,3783.71,983.63
2023-06-15,Phone,Technology,North,5,3171.07,376.25
2024-09-30,Mouse,Technology,North,3,1431.4,185.98
2024-11-29,Keyboard,Technology,South,2,1233.18,275.6
2024-08-24,Tablet,Technology,West,1,2097.24,389.36
2023-07-17,Mouse,Technology,North,10,4181.17,616.18
2026-01-04,Tablet,Technology,East,7,2437.2,696.27
2025-03-01,Tablet,Technology,South,8,2737.28,639.59
2025-06-13,Mouse,Technology,West,6,1437.38,246.38
2023-08-29,Tablet,Technology,South,10,3648.49,949.07
2025-08-18,Speaker,Technology,North,2,232.14,34.47
2025-07-19,Tablet,Technology,North,5,764.93,126.54
2025-08-10,Tablet,Technology,East,7,1704.03,278.91
2023-09-19,Printer,Office Supplies,East,2,3784.85,976.42
2026-03-28,Phone,Technology,East,4,194.98,36.04
2024-12-30,Monitor,Technology,North,4,3928.04,836.43
2025-12-12,Mouse,Technology,South,3,4212.22,864.91
2025-07-22,Phone,Technology,South,8,3380.35,645.62
2026-01-26,Printer,Office Supplies,North,3,3857.8,354.71
2023-10-17,Printer,Office Supplies,East,10,629.68,35.53
2024-09-25,Tablet,Technology,North,10,2043.61,467.48
2025-05-29,Mouse,Technology,North,10,599.32,145.71
2025-05-12,Laptop,Technology,East,2,1801.3,282.97
2024-05-21,Speaker,Technology,West,8,3272.96,174.0
2023-06-13,Monitor,Technology,West,3,2224.26,312.61
2025-10-26,Tablet,Technology,East,10,963.07,173.77
2025-08-14,Speaker,Technology,East,6,3895.74,647.54
2026-04-13,Mouse,Technology,West,4,4170.58,298.89
2023-11-17,Phone,Technology,East,1,2892.26,627.76
2024-10-21,Phone,Technology,South,6,4269.67,407.58
2024-03-13,Printer,Office Supplies,East,9,1767.66,477.41
2024-07-28,Laptop,Technology,South,7,2631.47,257.26
2024-12-17,Phone,Technology,West,8,2820.36,310.47
2025-04-07,Phone,Technology,South,7,3985.37,291.98
2024-04-07,Mouse,Technology,West,9,1600.41,312.7
2024-06-02,Speaker,Technology,East,6,1784.41,533.82
2025-05-19,Phone,Technology,North,4,1427.49,161.09
2025-09-07,Scanner,Office Supplies,South,4,685.82,126.17
2025-01-22,Mouse,Technology,East,2,3719.16,443.04
2024-02-25,Mouse,Technology,East,1,1551.61,217.57
2023-09-09,Speaker,Technology,North,9,720.26,44.21
2025-11-22,Printer,Office Supplies,West,2,3517.35,286.91
2025-03-29,Laptop,Technology,West,6,2912.91,487.47
2025-08-15,Keyboard,Technology,West,2,4830.94,546.47
2026-05-23,Monitor,Technology,North,3,2063.47,141.39
2026-03-01,Keyboard,Technology,North,4,4074.6,1170.56
2024-09-22,Monitor,Technology,South,9,2834.56,436.65
2025-03-16,Tablet,Technology,West,5,2307.52,370.77
2023-07-27,Headphone,Technology,North,4,3143.03,636.17
2024-07-21,Mouse,Technology,South,3,1396.77,98.19
2024-05-02,Speaker,Technology,West,10,467.82,23.7
2024-07-21,Phone,Technology,East,8,1527.17,164.73
2025-01-22,Monitor,Technology,South,7,3468.19,974.48
2023-08-14,Monitor,Technology,East,3,2768.36,586.64
2025-12-11,Monitor,Technology,East,8,392.23,97.33
2024-04-29,Monitor,Technology,West,5,2396.62,302.03
2025-03-14,Speaker,Technology,North,7,2745.91,437.81
2026-04-23,Scanner,Office Supplies,South,10,3058.2,172.69
2024-12-27,Headphone,Technology,East,10,4758.85,1427.15
2025-10-25,Laptop,Technology,West,5,3839.23,360.11
2023-10-08,Keyboard,Technology,West,2,4985.03,792.48
2025-09-19,Phone,Technology,North,3,1805.01,240.66
2025-09-05,Scanner,Office Supplies,West,9,2117.06,368.09
2024-04-28,Laptop,Technology,East,2,2328.65,299.53
2025-11-04,Tablet,Technology,North,9,4338.06,1111.55
2024-02-08,Phone,Technology,East,10,2124.91,205.89
2025-07-23,Phone,Technology,South,5,3164.5,759.47
2025-12-27,Speaker,Technology,West,2,741.96,90.52
2026-04-20,Laptop,Technology,South,3,4868.42,984.48
2024-11-14,Printer,Office Supplies,North,4,2799.11,526.41
2024-02-19,Monitor,Technology,South,8,2361.09,187.39
2024-04-17,Printer,Office Supplies,West,8,2593.47,306.95
2024-04-14,Mouse,Technology,South,10,2338.25,201.46
2024-06-07,Speaker,Technology,North,5,3756.83,316.05
2025-02-11,Tablet,Technology,East,1,1765.39,435.93
2025-12-25,Printer,Office Supplies,West,3,3657.65,948.68
2025-12-27,Phone,Technology,West,8,2739.04,373.28
2024-11-12,Scanner,Office Supplies,South,10,4361.05,1287.35
2024-05-24,Tablet,Technology,North,6,1244.46,303.51
2026-03-31,Phone,Technology,West,3,3555.62,899.05
2024-03-16,Phone,Technology,East,2,4827.64,393.75
2025-10-07,Phone,Technology,North,3,588.59,163.4
2024-11-27,Tablet,Technology,North,8,4367.57,1277.47
2024-10-17,Printer,Office Supplies,North,6,1758.95,392.56
2025-08-24,Speaker,Technology,West,9,1962.05,253.43
2024-08-21,Laptop,Technology,East,4,3125.55,339.72
2026-01-05,Monitor,Technology,North,8,2226.46,166.12
2024-04-18,Keyboard,Technology,North,6,3500.61,965.66
2024-09-12,Laptop,Technology,South,4,1537.5,220.95
2025-09-21,Speaker,Technology,South,3,2119.05,467.14
2026-01-25,Keyboard,Technology,South,8,486.94,130.36
2025-07-29,Headphone,Technology,East,8,801.28,132.44
2026-01-06,Printer,Office Supplies,West,5,3367.52,925.15
2025-04-07,Speaker,Technology,East,10,874.08,140.23
2023-10-11,Printer,Office Supplies,East,8,3230.8,504.25
2023-08-25,Printer,Office Supplies,West,2,1076.16,157.31
2026-04-03,Mouse,Technology,East,5,1968.69,275.1
2025-05-27,Laptop,Technology,East,1,4891.93,1049.6
2024-07-03,Headphone,Technology,North,10,4338.83,1061.18
2023-12-25,Phone,Technology,South,10,4180.91,1152.82
2025-06-23,Scanner,Office Supplies,East,3,1173.12,114.42
2024-03-23,Monitor,Technology,East,8,4526.68,957.78
2026-04-05,Laptop,Technology,North,5,2939.91,685.26
2024-07-28,Scanner,Office Supplies,South,9,3762.66,353.35
2025-01-11,Scanner,Office Supplies,South,5,2701.18,751.93
2025-06-19,Phone,Technology,East,2,4840.18,599.14
2024-11-10,Phone,Technology,South,7,4818.18,410.46
2024-09-02,Speaker,Technology,North,5,1892.3,468.67
2024-10-04,Speaker,Technology,East,10,705.58,100.3
2025-04-12,Tablet,Technology,North,4,4129.84,1177.31
2025-12-27,Phone,Technology,East,10,222.62,60.34
2026-03-25,Mouse,Technology,West,5,3273.5,683.67
2025-07-05,Tablet,Technology,North,5,671.71,41.2
2023-07-30,Phone,Technology,South,7,668.99,72.72
2025-02-12,Phone,Technology,West,10,1917.96,551.12
2024-03-28,Keyboard,Technology,West,10,4438.53,948.65
2026-03-03,Tablet,Technology,East,4,4701.36,563.86
2025-09-26,Phone,Technology,East,2,2279.01,248.48
2024-08-26,Scanner,Office Supplies,East,1,2767.88,815.03
2024-01-11,Tablet,Technology,West,2,1451.82,424.01
2024-12-23,Mouse,Technology,North,1,3244.35,646.56
2024-04-26,Scanner,Office Supplies,South,2,1293.49,105.39
2023-11-22,Speaker,Technology,South,6,1115.07,115.95
2025-09-22,Keyboard,Technology,East,3,3964.35,788.89
2023-12-25,Keyboard,Technology,North,1,2747.06,685.74
2023-08-14,Keyboard,Technology,South,10,172.82,42.77
2024-10-13,Scanner,Office Supplies,South,7,177.33,20.63
2026-02-07,Speaker,Technology,West,6,656.88,43.28
2023-07-01,Speaker,Technology,South,10,3008.96,490.46
2023-10-20,Laptop,Technology,East,8,3663.49,1015.48
2025-12-15,Laptop,Technology,West,7,398.04,67.57
2023-07-05,Monitor,Technology,North,2,2502.32,694.21
2024-08-25,Scanner,Office Supplies,East,10,3080.66,204.62
2024-10-10,Headphone,Technology,East,8,2786.95,365.92
2025-08-01,Speaker,Technology,North,9,3066.59,229.36
2024-07-04,Mouse,Technology,West,6,2207.34,600.45
2023-11-22,Phone,Technology,East,7,2053.78,477.3
2026-02-02,Scanner,Office Supplies,South,8,3359.03,482.27
2024-12-12,Monitor,Technology,West,2,547.0,39.02
2025-02-16,Scanner,Office Supplies,East,2,4077.67,771.06
2025-05-22,Tablet,Technology,West,1,1832.63,396.46
2024-01-22,Printer,Office Supplies,South,3,3042.01,419.53
2023-06-17,Phone,Technology,East,2,1198.8,92.37
2023-09-18,Printer,Office Supplies,North,10,2913.09,733.53
2025-05-02,Printer,Office Supplies,East,6,241.87,28.62
2024-06-08,Scanner,Office Supplies,West,2,129.92,34.75
2025-06-10,Keyboard,Technology,North,9,3730.75,1092.93
2025-06-25,Mouse,Technology,South,6,1943.35,317.57
2026-05-16,Printer,Office Supplies,North,1,3635.82,887.9
2023-07-21,Keyboard,Technology,North,5,871.31,178.15
2025-04-17,Phone,Technology,West,7,3343.5,573.13
2025-04-24,Printer,Office Supplies,East,7,1156.29,205.92
2024-05-04,Monitor,Technology,West,9,1487.91,326.78
2025-08-01,Printer,Office Supplies,North,1,322.55,48.0
2024-07-12,Mouse,Technology,South,5,1576.95,162.12
2026-04-24,Printer,Office Supplies,West,3,1707.8,88.69
2026-03-28,Keyboard,Technology,East,2,1963.02,443.48
2025-07-15,Tablet,Technology,North,8,4322.65,261.85
2023-07-15,Monitor,Technology,West,7,4324.34,838.66
2026-05-28,Printer,Office Supplies,East,3,664.35,36.68
2024-06-29,Headphone,Technology,East,2,2354.47,523.64
2026-02-08,Tablet,Technology,West,9,4237.97,469.69
2024-04-01,Monitor,Technology,East,4,2039.26,260.15
2025-08-18,Scanner,Office Supplies,North,9,3917.68,270.69
2025-10-02,Speaker,Technology,East,3,1050.13,256.29
2025-05-28,Mouse,Technology,South,10,603.74,68.82
2026-04-09,Keyboard,Technology,South,8,3825.05,818.09
2025-06-26,Phone,Technology,West,10,3796.78,911.11
2023-09-11,Headphone,Technology,East,3,1683.72,492.9
2025-09-28,Phone,Technology,East,5,434.6,69.78
2023-10-24,Headphone,Technology,East,8,375.24,66.36
2023-09-13,Phone,Technology,East,2,284.28,40.42
2025-04-12,Monitor,Technology,West,10,3113.54,550.37
2024-02-12,Speaker,Technology,North,8,4775.73,1121.01
2023-10-15,Headphone,Technology,West,9,3294.0,429.48
2025-05-14,Keyboard,Technology,East,2,4792.84,779.46
2025-08-08,Speaker,Technology,West,8,3266.02,195.26
2025-03-26,Speaker,Technology,East,5,2661.47,238.7
2023-07-12,Tablet,Technology,North,6,2102.97,283.04
2024-06-17,Monitor,Technology,West,5,1715.48,325.07
2024-11-26,Printer,Office Supplies,South,6,3646.29,780.82
2025-04-04,Monitor,Technology,East,5,2955.42,252.27
2025-03-02,Tablet,Technology,North,5,731.86,166.28
2024-07-02,Speaker,Technology,South,9,1945.73,482.38
2024-05-26,Monitor,Technology,East,1,3265.52,508.94
2024-03-28,Scanner,Office Supplies,East,8,1613.44,464.34
2026-03-13,Mouse,Technology,North,5,1210.06,102.12
2023-08-08,Monitor,Technology,North,6,2587.68,478.57
2024-06-19,Headphone,Technology,South,3,742.14,107.0
2024-12-27,Headphone,Technology,West,1,4064.31,371.42
2026-03-26,Tablet,Technology,West,10,1885.07,433.37
2025-10-17,Printer,Office Supplies,South,9,3786.72,931.34
2023-12-27,Mouse,Technology,West,4,1616.39,407.58
2026-04-27,Scanner,Office Supplies,West,8,3423.7,659.42
2024-07-25,Printer,Office Supplies,West,3,3912.81,687.59
2025-09-20,Mouse,Technology,East,1,4026.17,340.61
2025-04-11,Phone,Technology,North,9,4383.17,826.82
2023-08-22,Monitor,Technology,East,8,1496.81,360.4
2026-05-14,Speaker,Technology,South,8,822.01,131.0
2026-03-02,Scanner,Office Supplies,West,9,4659.31,716.25
2024-08-21,Scanner,Office Supplies,East,4,1255.31,374.87
2024-03-09,Laptop,Technology,East,3,1661.56,124.24
2024-12-16,Keyboard,Technology,West,3,287.69,80.37
2023-09-24,Phone,Technology,North,1,2298.15,117.92
2025-12-17,Printer,Office Supplies,West,2,1156.71,101.07
2025-09-28,Printer,Office Supplies,South,7,1264.44,101.74
2026-03-14,Headphone,Technology,West,10,2339.86,181.84
2024-11-11,Speaker,Technology,South,3,180.53,32.29
2023-08-23,Printer,Office Supplies,South,10,2203.27,448.81
2024-10-18,Tablet,Technology,East,2,1017.84,220.93
2024-06-29,Speaker,Technology,North,7,2766.0,682.1
2024-01-17,Phone,Technology,East,5,313.32,45.97
2025-04-20,Laptop,Technology,South,2,1849.76,123.73
2026-03-15,Headphone,Technology,North,6,3702.42,492.9
2023-12-26,Speaker,Technology,West,8,1758.88,370.59
2024-08-23,Keyboard,Technology,West,1,4076.34,268.12
2026-03-01,Printer,Office Supplies,North,6,1087.8,269.53
2023-11-14,Printer,Office Supplies,West,5,2625.38,780.47
2026-02-26,Laptop,Technology,East,1,3791.13,370.68
2026-04-08,Scanner,Office Supplies,West,7,1438.76,359.45
2024-10-01,Phone,Technology,South,8,4483.72,657.59
2024-01-26,Phone,Technology,East,2,1900.0,473.71
2024-11-20,Tablet,Technology,South,9,486.74,97.65
2024-10-17,Printer,Office Supplies,East,5,1673.94,117.2
2023-09-07,Phone,Technology,West,6,3052.85,477.86
2024-07-23,Phone,Technology,East,10,307.54,82.27
2025-11-03,Tablet,Technology,North,2,1445.32,426.38
2025-04-07,Tablet,Technology,South,1,1880.22,470.57
2024-08-26,Keyboard,Technology,West,1,4258.48,934.83
2026-05-31,Keyboard,Technology,East,6,429.44,105.05
2025-09-16,Tablet,Technology,South,8,4752.39,276.1
2023-08-04,Scanner,Office Supplies,South,9,1922.87,462.97
2026-05-21,Scanner,Office Supplies,South,2,2050.37,435.48
2025-11-06,Laptop,Technology,West,9,3704.81,647.46
2026-04-08,Monitor,Technology,West,4,1382.71,159.11
2023-06-29,Headphone,Technology,West,4,1499.33,418.49
2024-07-27,Monitor,Technology,South,8,765.07,52.42
2023-09-10,Monitor,Technology,East,6,4071.51,1188.43
2026-02-19,Monitor,Technology,East,3,2794.99,342.64
2025-11-10,Keyboard,Technology,North,4,3989.11,706.83
2026-03-10,Keyboard,Technology,East,9,1260.01,218.62
2025-06-18,Headphone,Technology,South,10,1907.66,478.66
2024-04-23,Monitor,Technology,West,9,422.17,63.13
2025-09-11,Tablet,Technology,North,3,3868.91,989.8
2025-10-22,Scanner,Office Supplies,East,3,3247.46,527.69
2025-07-08,Speaker,Technology,South,7,3234.99,308.91
2024-08-24,Speaker,Technology,North,9,4562.49,291.33
2025-01-14,Keyboard,Technology,South,6,1590.21,143.9
2024-08-07,Speaker,Technology,East,4,4485.14,1172.79
2026-03-28,Speaker,Technology,North,9,1444.81,298.0
2023-11-09,Keyboard,Technology,South,10,2999.86,585.46
2025-02-04,Headphone,Technology,North,1,1754.34,492.94
2024-03-27,Monitor,Technology,East,4,322.76,67.9
2023-10-15,Headphone,Technology,West,9,2141.28,449.13
2026-06-06,Printer,Office Supplies,South,7,3245.35,407.37
2023-11-06,Printer,Office Supplies,South,8,2322.37,515.92
2024-03-10,Tablet,Technology,South,6,2472.83,249.77
2025-05-02,Scanner,Office Supplies,West,3,3697.58,980.58
2024-10-06,Scanner,Office Supplies,South,8,2623.4,200.81
2024-10-19,Monitor,Technology,North,1,1410.61,157.96
2026-05-30,Printer,Office Supplies,West,4,4732.39,1259.01
2023-07-01,Keyboard,Technology,East,4,4086.04,1158.14
2026-02-02,Keyboard,Technology,West,5,2541.5,454.12
2025-10-10,Phone,Technology,West,4,213.56,61.14
2026-02-24,Mouse,Technology,East,8,2958.39,183.91
2024-05-16,Headphone,Technology,West,5,4423.46,944.7
2024-08-15,Speaker,Technology,South,5,140.07,10.77
2026-02-16,Scanner,Office Supplies,West,1,3842.9,543.71
2025-01-18,Headphone,Technology,East,2,2852.9,401.21
2026-04-13,Tablet,Technology,East,10,2570.85,619.83
2026-03-10,Headphone,Technology,West,6,682.17,200.4
2025-11-06,Scanner,Office Supplies,South,4,2833.38,400.64
2026-02-07,Headphone,Technology,North,1,2594.7,454.12
2023-08-02,Keyboard,Technology,West,3,3596.6,902.72
2026-06-07,Headphone,Technology,East,3,4476.35,380.24
2025-11-03,Tablet,Technology,East,10,4954.02,1163.35
2025-08-13,Scanner,Office Supplies,West,10,2585.84,458.8
2025-12-25,Printer,Office Supplies,East,2,2426.97,131.44
2023-11-17,Tablet,Technology,North,10,2960.14,737.63
2026-02-26,Phone,Technology,South,1,1401.1,299.69
2023-09-18,Headphone,Technology,West,3,2454.2,444.35
2025-09-04,Mouse,Technology,North,4,254.7,73.11
2024-07-20,Laptop,Technology,West,4,2261.09,349.78
2025-08-18,Tablet,Technology,West,1,2558.92,519.13
2025-01-26,Keyboard,Technology,West,9,2641.55,502.48
2023-07-22,Tablet,Technology,East,9,1637.39,152.76
2026-04-12,Scanner,Office Supplies,East,10,3411.76,910.65
2025-02-26,Phone,Technology,East,4,1042.09,116.33
2026-05-14,Printer,Office Supplies,West,6,3878.75,877.47
2024-03-06,Phone,Technology,East,5,1809.14,512.76
2024-08-05,Monitor,Technology,West,6,2910.04,540.68
2023-08-16,Keyboard,Technology,North,6,1523.22,185.69
2025-09-28,Phone,Technology,South,4,3314.26,784.93
2024-08-24,Speaker,Technology,East,3,1428.55,272.15
2024-07-17,Monitor,Technology,South,1,3116.82,613.1
2024-04-30,Speaker,Technology,North,7,1205.79,130.48
2023-11-03,Scanner,Office Supplies,South,1,3615.05,271.62
2024-03-14,Speaker,Technology,West,8,4891.76,437.74
2026-02-17,Mouse,Technology,East,1,3803.96,463.37
2025-10-25,Monitor,Technology,North,3,3296.26,356.18
2024-01-10,Tablet,Technology,North,7,4423.0,415.53
2025-05-02,Phone,Technology,East,1,1012.93,240.32
2024-05-07,Laptop,Technology,East,5,1562.12,313.51
2026-06-01,Phone,Technology,West,3,4946.59,919.2
2025-03-15,Speaker,Technology,North,6,2393.3,235.03
2024-02-22,Keyboard,Technology,South,1,3682.48,780.95
2025-05-25,Scanner,Office Supplies,South,3,3974.76,762.94
2026-05-31,Headphone,Technology,West,9,4295.12,1177.98
2026-04-11,Scanner,Office Supplies,South,3,525.02,114.09
2024-04-14,Phone,Technology,East,7,1685.65,188.81
2024-08-28,Mouse,Technology,East,5,2289.0,267.24
2026-02-04,Headphone,Technology,East,4,3642.12,192.52
2024-05-23,Laptop,Technology,South,7,3372.15,560.95
2023-12-02,Speaker,Technology,East,2,4623.22,1257.29
2024-10-31,Printer,Office Supplies,South,8,1900.97,200.01
2023-11-12,Keyboard,Technology,East,7,2329.4,692.32
2026-04-29,Speaker,Technology,South,4,4572.7,1094.42
2025-09-05,Headphone,Technology,West,9,4378.36,308.53
2025-04-09,Scanner,Office Supplies,North,9,482.7,92.22
2024-09-08,Speaker,Technology,South,6,1090.57,200.84
2024-08-18,Speaker,Technology,West,2,2265.02,498.47
2024-01-07,Speaker,Technology,South,9,2282.87,145.9
2025-01-05,Tablet,Technology,West,5,2338.31,150.67
2024-11-19,Laptop,Technology,South,10,2040.15,518.43
2025-02-25,Monitor,Technology,North,9,321.92,43.82
2024-10-28,Laptop,Technology,West,1,4679.46,314.72
2025-02-05,Printer,Office Supplies,West,6,2103.45,509.55
2024-02-13,Tablet,Technology,West,7,2297.83,641.74
2026-01-06,Monitor,Technology,South,6,3445.38,742.3
2025-06-30,Monitor,Technology,South,4,974.52,179.62
2025-02-26,Laptop,Technology,West,9,3805.28,1121.12
2026-06-01,Tablet,Technology,South,8,2706.47,692.42
2026-01-19,Scanner,Office Supplies,North,1,860.09,83.53
2025-12-09,Tablet,Technology,North,4,3113.12,884.31
2024-06-18,Mouse,Technology,West,10,429.73,85.3
2025-03-22,Laptop,Technology,West,4,1299.2,79.33
2026-01-15,Speaker,Technology,North,3,1164.62,309.71
2024-09-24,Speaker,Technology,East,10,4968.07,539.24
2023-08-26,Headphone,Technology,South,5,3885.44,989.22
2023-10-01,Keyboard,Technology,West,5,4929.91,888.93
2023-06-19,Printer,Office Supplies,South,7,398.69,114.48
2025-07-09,Speaker,Technology,West,9,2528.54,741.05
2024-11-09,Scanner,Office Supplies,East,7,3511.91,534.04
2025-12-04,Keyboard,Technology,South,5,3796.64,639.28
2026-05-20,Keyboard,Technology,West,7,4048.3,1128.2
2026-03-06,Speaker,Technology,East,4,2696.96,396.74
2024-11-05,Scanner,Office Supplies,East,2,3268.86,917.1
2025-04-06,Speaker,Technology,East,7,3650.47,356.36
2025-02-12,Headphone,Technology,South,10,3054.32,819.8
2024-05-04,Speaker,Technology,East,5,1163.38,118.92
2025-01-29,Laptop,Technology,North,8,1137.86,110.95
2026-01-18,Mouse,Technology,West,4,3508.57,792.73
2024-08-16,Speaker,Technology,West,9,1675.91,202.39
2026-02-08,Scanner,Office Supplies,West,8,1611.27,225.43
2024-08-13,Monitor,Technology,East,4,4033.8,930.21
2025-09-21,Scanner,Office Supplies,South,3,1633.32,100.33
2025-04-20,Laptop,Technology,West,5,1377.79,390.86
2024-03-05,Keyboard,Technology,South,8,1061.34,114.1
2026-01-08,Speaker,Technology,East,8,3307.58,731.68
2024-07-30,Phone,Technology,East,3,2358.06,549.88
2026-05-13,Keyboard,Technology,North,9,3629.54,624.57
2024-05-09,Laptop,Technology,North,1,4211.44,288.83
2026-02-10,Tablet,Technology,North,3,773.71,160.68
2023-12-28,Laptop,Technology,North,10,1171.73,192.17
2023-12-24,Headphone,Technology,North,1,4572.48,982.27
2025-07-24,Speaker,Technology,East,9,2803.05,148.46
2025-01-06,Printer,Office Supplies,West,3,184.0,46.61
2025-02-12,Monitor,Technology,South,4,4598.44,832.76
2024-02-01,Headphone,Technology,East,7,2679.63,680.1
2024-10-25,Monitor,Technology,South,4,1927.95,292.1
2024-12-06,Printer,Office Supplies,North,2,3451.8,904.26
2026-03-07,Tablet,Technology,North,1,1958.39,368.52
2024-04-03,Keyboard,Technology,East,10,505.16,132.01
2025-06-22,Monitor,Technology,South,4,4484.48,1254.7
2024-06-17,Headphone,Technology,North,5,2429.95,149.78
2024-07-13,Speaker,Technology,East,1,2861.2,166.59
2023-11-04,Mouse,Technology,West,2,2976.48,708.59
2026-01-09,Printer,Office Supplies,West,9,896.01,98.67
